FECHA_MUESTRA;FECHA_CORTE;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGUEO_ESTABLECIMIENTO;IPRESS;CATEGORIA;CLAS;UNIDAD_EJECUTORA;RENAES;Mes;PERIODO;F_VIO;M_VIO;5_VIO;6_11_VIO;12_14_VIO;15_17_VIO;18_29_VIO;30_59_VIO;60_VIO;VIO_PSICO;VIO_FISI;VIO_SEX
20243103;20240418;PIURA;SULLANA;SULLANA;200601;HOSPITAL DE APOYO II - 2 SULLANA;II-2;NINGUN CLAS;HOSPITAL DE APOYO III SULLANA;1910;202402;2024;8;0;0;0;1;2;3;2;0;5;3;0
20243103;20240418;PIURA;SULLANA;SULLANA;200601;HOSPITAL DE APOYO II - 2 SULLANA;II-2;NINGUN CLAS;HOSPITAL DE APOYO III SULLANA;1910;202403;2024;3;0;0;1;0;0;2;0;0;3;0;0
20243103;20240418;PIURA;SULLANA;SULLANA;200601;HOSPITAL DE APOYO II - 2 SULLANA;II-2;NINGUN CLAS;HOSPITAL DE APOYO III SULLANA;1910;202401;2024;1;0;0;0;0;0;1;0;0;1;0;0
20243103;20240418;PIURA;AYABACA;AYABACA;200201;AYABACA;I-4;NINGUN CLAS;SALUD LUCIANO CASTILLO COLONNA;1911;202402;2024;49;4;0;2;1;5;26;19;0;50;1;3
20243103;20240418;PIURA;AYABACA;AYABACA;200201;AYABACA;I-4;NINGUN CLAS;SALUD LUCIANO CASTILLO COLONNA;1911;202403;2024;38;1;1;2;1;5;15;14;1;34;0;5
20243103;20240418;PIURA;AYABACA;AYABACA;200201;AYABACA;I-4;NINGUN CLAS;SALUD LUCIANO CASTILLO COLONNA;1911;202401;2024;55;5;0;0;0;10;21;26;3;50;0;10
20243103;20240418;PIURA;AYABACA;AYABACA;200201;TAPAL;I-2;NINGUN CLAS;SALUD LUCIANO CASTILLO COLONNA;1912;202401;2024;0;0;0;0;0;0;0;0;0;0;0;0
20243103;20240418;PIURA;AYABACA;AYABACA;200201;TAPAL;I-2;NINGUN CLAS;SALUD LUCIANO CASTILLO COLONNA;1912;202403;2024;0;0;0;0;0;0;0;0;0;0;0;0
20243103;20240418;PIURA;AYABACA;AYABACA;200201;TAPAL;I-2;NINGUN CLAS;SALUD LUCIANO CASTILLO COLONNA;1912;202402;2024;0;0;0;0;0;0;0;0;0;0;0;0
20243103;20240418;PIURA;AYABACA;AYABACA;200201;CHINCHIN;I-1;NINGUN CLAS;SALUD LUCIANO CASTILLO COLONNA;1913;202402;2024;0;0;0;0;0;0;0;0;0;0;0;0
20243103;20240418;PIURA;AYABACA;AYABACA;200201;CHINCHIN;I-1;NINGUN CLAS;SALUD LUCIANO CASTILLO COLONNA;1913;202401;2024;0;0;0;0;0;0;0;0;0;0;0;0
20243103;20240418;PIURA;AYABACA;AYABACA;200201;CHINCHIN;I-1;NINGUN CLAS;SALUD LUCIANO CASTILLO COLONNA;1913;202403;2024;0;0;0;0;0;0;0;0;0;0;0;0
